month,hbt,departmenttype,attendances,within_4h,over_4h,over_8h,over_12h,pct_within_4h,pct_over_4h,pct_over_8h,pct_over_12h,total_referral_attendances
2007-07-01,S08000015,Type 3,252,252,0,,,1.0,0.0,,,
2007-07-01,S08000015,Type 1,5414,5290,124,26.0,24.0,0.9770964166974511,0.022903583302548946,0.004802364240857037,0.004432951606944958,
2007-07-01,S08000015,Type 3,92,92,0,,,1.0,0.0,,,
2007-07-01,S08000015,Type 1,3530,3355,175,3.0,1.0,0.9504249291784702,0.049575070821529746,0.0008498583569405099,0.00028328611898016995,
2007-07-01,S08000016,Type 3,20,20,0,,,1.0,0.0,,,
2007-07-01,S08000016,Type 3,105,105,0,,,1.0,0.0,,,
2007-07-01,S08000016,Type 3,31,31,0,,,1.0,0.0,,,
2007-07-01,S08000016,Type 3,87,87,0,,,1.0,0.0,,,
2007-07-01,S08000016,Type 1,1823,1804,19,0.0,0.0,0.9895776193088316,0.010422380691168404,0.0,0.0,
2007-07-01,S08000017,Type 3,86,86,0,,,1.0,0.0,,,
2007-07-01,S08000017,Type 3,83,83,0,,,1.0,0.0,,,
2007-07-01,S08000017,Type 3,7,7,0,,,1.0,0.0,,,
2007-07-01,S08000017,Type 3,85,85,0,,,1.0,0.0,,,
2007-07-01,S08000017,Type 1,1189,1167,22,,,0.9814970563498738,0.018502943650126155,,,
2007-07-01,S08000017,Type 1,2970,2862,108,0.0,0.0,0.9636363636363636,0.03636363636363636,0.0,0.0,
2007-07-01,S08000029,Type 1,3912,3703,209,6.0,1.0,0.9465746421267893,0.053425357873210635,0.0015337423312883436,0.0002556237218813906,
2007-07-01,S08000029,Type 3,174,174,0,,,1.0,0.0,,,
2007-07-01,S08000029,Type 3,282,282,0,,,1.0,0.0,,,
2007-07-01,S08000029,Type 1,3638,3570,68,2.0,0.0,0.9813084112149533,0.018691588785046728,0.0005497526113249038,0.0,
2007-07-01,S08000019,Type 3,1772,1768,4,0.0,0.0,0.9977426636568849,0.002257336343115124,0.0,0.0,
2007-07-01,S08000019,Type 1,4195,4003,192,5.0,1.0,0.9542312276519667,0.04576877234803337,0.0011918951132300357,0.00023837902264600716,
2007-07-01,S08000020,Type 1,5312,5168,144,8.0,0.0,0.9728915662650602,0.02710843373493976,0.0015060240963855422,0.0,
2007-07-01,S08000020,Type 1,1333,1324,9,0.0,0.0,0.9932483120780196,0.006751687921980495,0.0,0.0,
2007-07-01,S08000020,Type 3,72,72,0,,,1.0,0.0,,,
2007-07-01,S08000020,Type 3,40,40,0,,,1.0,0.0,,,
2007-07-01,S08000020,Type 3,62,62,0,,,1.0,0.0,,,
2007-07-01,S08000020,Type 3,1114,1113,1,,,0.9991023339317774,0.0008976660682226212,,,
2007-07-01,S08000020,Type 3,904,898,6,,,0.9933628318584071,0.00663716814159292,,,
2007-07-01,S08000020,Type 3,279,277,2,,,0.992831541218638,0.007168458781362007,,,
2007-07-01,S08000020,Type 3,178,178,0,,,1.0,0.0,,,
2007-07-01,S08000020,Type 3,359,359,0,,,1.0,0.0,,,
2007-07-01,S08000020,Type 1,1925,1850,75,1.0,1.0,0.961038961038961,0.03896103896103896,0.0005194805194805195,0.0005194805194805195,
2007-07-01,S08000020,Type 3,107,107,0,,,1.0,0.0,,,
2007-07-01,S08000020,Type 3,37,37,0,,,1.0,0.0,,,
2007-07-01,S08000020,Type 3,113,113,0,,,1.0,0.0,,,
2007-07-01,S08000020,Type 3,62,62,0,,,1.0,0.0,,,
2007-07-01,S08000020,Type 3,32,32,0,,,1.0,0.0,,,
2007-07-01,S08000020,Type 3,153,153,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-07-01,S08000031,Type 3,1382,1354,28,1.0,1.0,0.9797395079594791,0.020260492040520984,0.000723589001447178,0.000723589001447178,
2007-07-01,S08000031,Type 1,2693,2648,45,1.0,0.0,0.9832900111399926,0.01670998886000743,0.0003713330857779428,0.0,
2007-07-01,S08000031,Type 1,5479,5324,155,4.0,0.0,0.9717101660887023,0.028289833911297683,0.0007300602299689724,0.0,
2007-07-01,S08000031,Type 1,6200,5951,249,6.0,2.0,0.9598387096774194,0.040161290322580645,0.000967741935483871,0.0003225806451612903,
2007-07-01,S08000031,Type 1,3390,3264,126,1.0,0.0,0.9628318584070796,0.03716814159292035,0.0002949852507374631,0.0,
2007-07-01,S08000031,Type 1,5864,5744,120,1.0,0.0,0.9795361527967258,0.020463847203274217,0.00017053206002728513,0.0,
2007-07-01,S08000031,Type 1,4186,3952,234,4.0,0.0,0.9440993788819876,0.055900621118012424,0.0009555661729574773,0.0,
2007-07-01,S08000031,Type 1,2981,2942,39,1.0,0.0,0.9869171418986917,0.013082858101308286,0.0003354579000335458,0.0,
2007-07-01,S08000031,Type 1,5040,4529,511,40.0,6.0,0.8986111111111111,0.10138888888888889,0.007936507936507936,0.0011904761904761906,
2007-07-01,S08000022,Type 3,401,401,0,,,1.0,0.0,,,
2007-07-01,S08000022,Type 3,615,612,3,,,0.9951219512195122,0.004878048780487805,,,
2007-07-01,S08000022,Type 3,110,110,0,,,1.0,0.0,,,
2007-07-01,S08000022,Type 3,468,467,1,,,0.9978632478632479,0.002136752136752137,,,
2007-07-01,S08000022,Type 3,369,363,6,,,0.983739837398374,0.016260162601626018,,,
2007-07-01,S08000022,Type 3,67,65,2,,,0.9701492537313433,0.029850746268656716,,,
2007-07-01,S08000022,Type 1,616,611,5,,,0.9918831168831169,0.008116883116883116,,,
2007-07-01,S08000022,Type 3,211,211,0,,,1.0,0.0,,,
2007-07-01,S08000022,Type 3,199,199,0,,,1.0,0.0,,,
2007-07-01,S08000022,Type 1,496,488,8,,,0.9838709677419355,0.016129032258064516,,,
2007-07-01,S08000022,Type 3,73,72,1,,,0.9863013698630136,0.0136986301369863,,,
2007-07-01,S08000022,Type 1,2618,2553,65,3.0,1.0,0.9751718869365928,0.02482811306340718,0.001145912910618793,0.0003819709702062643,
2007-07-01,S08000022,Type 3,281,280,1,,,0.99644128113879,0.0035587188612099642,,,
2007-07-01,S08000022,Type 3,113,111,2,,,0.9823008849557522,0.017699115044247787,,,
2007-07-01,S08000022,Type 1,896,879,17,,,0.9810267857142857,0.018973214285714284,,,
2007-07-01,S08000022,Type 3,300,296,4,,,0.9866666666666667,0.013333333333333334,,,
2007-07-01,S08000022,Type 3,153,152,1,,,0.9934640522875817,0.006535947712418301,,,
2007-07-01,S08000022,Type 3,185,185,0,,,1.0,0.0,,,
2007-07-01,S08000022,Type 3,91,91,0,,,1.0,0.0,,,
